strategy,symbol,tier,trades,wins,win_rate,profit_factor,total_return_pct,max_dd_pct,avg_hold_days
RSI-2,SPY,tier1,14,13,92.86,3.788,2.79,1.0,1.3
BB-MR,SPY,tier1,6,4,66.67,1.572,0.76,1.0,3.5
IBS,SPY,tier1,18,11,61.11,3.462,3.41,0.72,1.8
ConnorsRSI,SPY,tier1,3,3,100.0,99.0,1.11,0.0,1.7
Williams%R,SPY,tier1,6,4,66.67,2.745,2.52,1.0,3.8
Stoch,SPY,tier1,3,1,33.33,2.43,0.63,0.41,4.3
MFI,SPY,tier1,0,0,0.0,0.0,0.0,0.0,0.0
MACD-Hist,SPY,tier1,13,4,30.77,0.225,-3.25,3.41,4.7
Donchian-BO,SPY,tier1,6,4,66.67,1.372,0.76,1.99,22.5
EMA-10/30,SPY,tier1,3,3,100.0,99.0,1.34,0.0,13.3
Keltner,SPY,tier1,3,1,33.33,0.331,-0.71,1.0,5.7
ADX-Pullback,SPY,tier1,0,0,0.0,0.0,0.0,0.0,0.0
RSI-2,QQQ,tier1,11,9,81.82,12.246,2.36,0.21,1.8
BB-MR,QQQ,tier1,5,3,60.0,0.965,-0.07,1.0,5.0
IBS,QQQ,tier1,15,9,60.0,0.805,-0.86,2.21,2.1
ConnorsRSI,QQQ,tier1,0,0,0.0,0.0,0.0,0.0,0.0
Williams%R,QQQ,tier1,7,5,71.43,1.953,1.93,1.0,4.3
Stoch,QQQ,tier1,4,1,25.0,0.385,-1.41,1.99,3.0
MFI,QQQ,tier1,0,0,0.0,0.0,0.0,0.0,0.0
MACD-Hist,QQQ,tier1,9,2,22.22,0.252,-3.43,3.62,5.9
Donchian-BO,QQQ,tier1,7,3,42.86,1.211,0.69,2.2,19.6
EMA-10/30,QQQ,tier1,2,0,0.0,0.0,-0.39,0.39,16.0
Keltner,QQQ,tier1,3,2,66.67,0.616,-0.38,1.0,5.3
ADX-Pullback,QQQ,tier1,0,0,0.0,0.0,0.0,0.0,0.0
RSI-2,NVDA,tier1,9,9,100.0,99.0,4.21,0.0,1.8
BB-MR,NVDA,tier1,4,4,100.0,99.0,2.99,0.0,2.5
IBS,NVDA,tier1,17,8,47.06,0.565,-2.01,3.14,2.1
ConnorsRSI,NVDA,tier1,3,3,100.0,99.0,1.76,0.0,3.3
Williams%R,NVDA,tier1,5,4,80.0,4.093,3.09,1.0,3.6
Stoch,NVDA,tier1,1,1,100.0,99.0,0.12,0.0,5.0
MFI,NVDA,tier1,1,1,100.0,99.0,0.12,0.0,5.0
MACD-Hist,NVDA,tier1,8,3,37.5,0.597,-1.59,3.02,6.0
Donchian-BO,NVDA,tier1,5,4,80.0,4.749,3.94,1.0,24.2
EMA-10/30,NVDA,tier1,4,1,25.0,0.391,-1.63,2.65,12.8
Keltner,NVDA,tier1,2,2,100.0,99.0,1.89,0.0,1.5
ADX-Pullback,NVDA,tier1,0,0,0.0,0.0,0.0,0.0,0.0
RSI-2,XLK,tier1,5,5,100.0,99.0,1.8,0.0,1.6
BB-MR,XLK,tier1,1,1,100.0,99.0,0.85,0.0,8.0
IBS,XLK,tier1,9,5,55.56,0.753,-0.55,1.59,1.8
ConnorsRSI,XLK,tier1,1,1,100.0,99.0,0.91,0.0,4.0
Williams%R,XLK,tier1,1,1,100.0,99.0,0.39,0.0,5.0
Stoch,XLK,tier1,1,1,100.0,99.0,1.02,0.0,5.0
MFI,XLK,tier1,1,1,100.0,99.0,0.39,0.0,5.0
MACD-Hist,XLK,tier1,6,2,33.33,1.011,0.02,1.26,4.8
Donchian-BO,XLK,tier1,6,3,50.0,1.316,0.97,1.99,18.2
