symbol,total_trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct,avg_hold_days,pct_time_invested
ABBV,19,36.84,2.806,22.37,4.34,86.2,72.4
ABT,14,28.57,3.876,40.34,6.04,116.9,72.4
AMGN,16,37.5,0.867,-1.17,4.93,89.8,63.56
CSCO,9,44.44,4.419,18.67,3.87,175.4,69.84
DG,3,66.67,24.477,29.73,0.99,511.7,67.89
DIA,13,53.85,4.665,23.02,2.97,133.4,76.69
EA,14,42.86,1.655,4.79,3.62,101.4,62.8
EMR,17,17.65,0.416,-6.99,7.92,84.5,63.56
GOOGL,7,57.14,11.874,28.07,1.9,162.7,50.38
IWM,14,50.0,1.635,4.23,5.93,96.4,59.66
KMI,14,50.0,4.065,20.08,2.52,89.6,55.46
LIN,8,62.5,6.247,12.94,1.71,158.0,77.26
META,12,41.67,3.812,17.38,3.55,138.7,73.6
NFLX,10,40.0,3.624,14.51,2.5,154.4,68.29
NOW,6,33.33,17.181,76.54,2.3,299.8,79.57
NVDA,7,14.29,0.944,-0.26,4.68,175.6,54.36
ORCL,17,29.41,2.43,15.52,7.59,99.5,74.79
QQQ,6,50.0,12.741,35.6,1.94,321.3,85.27
SCHW,7,42.86,3.504,10.14,1.95,184.6,57.14
SHOP,8,37.5,8.035,46.97,2.88,222.0,78.55
SMH,16,31.25,2.748,17.42,5.19,91.8,64.93
SPOT,5,40.0,12.725,30.76,1.72,212.4,59.53
SPY,10,40.0,1.885,4.9,2.22,187.9,83.1
TSLA,18,16.67,0.517,-4.22,6.53,33.8,26.89
V,9,33.33,5.987,33.14,3.57,206.9,82.35
XLC,5,60.0,15.22,27.84,1.96,261.4,75.55
XLE,17,41.18,1.423,3.76,4.68,58.4,43.92
XLF,10,50.0,4.237,16.09,1.98,145.1,64.18
XLI,13,38.46,4.195,22.91,3.05,128.9,74.13
XLK,8,37.5,5.729,20.29,1.93,233.4,82.57
XLV,21,33.33,1.552,7.9,4.54,74.2,68.95
XLY,12,33.33,1.724,5.94,3.71,147.7,78.37
